Frame,ID,Type
3,1,car
3,2,car
3,3,truck
3,4,car
6,5,truck
8,8,truck
16,11,car
16,12,car
22,15,car
59,17,car
74,19,car
78,20,car
78,21,truck
123,28,car
125,29,car
127,30,car
164,35,car
178,36,car
198,38,car
202,39,car
209,41,person
239,44,car
241,45,car
246,49,car
248,50,truck
248,51,truck
250,53,car
253,54,truck
258,55,car
260,56,car
262,57,truck
264,59,car
265,60,truck
268,61,truck
279,64,car
283,65,car
287,67,truck
288,68,car
303,73,car
304,74,car
307,75,car
311,77,car
351,84,car
356,85,car
358,86,car
359,87,car
363,88,car
365,89,car
366,90,car
377,91,truck
423,92,truck
443,95,car
474,96,car
477,97,car
481,99,car
486,100,truck
486,101,truck
488,102,car
499,104,car
