Frame,People,Bikes,Buses,Cars,Trucks
1,0,0,0,3,1
2,0,0,0,4,1
3,0,0,0,4,1
4,0,0,0,4,2
5,0,0,0,5,2
6,0,0,0,5,2
7,0,0,0,5,1
8,0,0,0,5,1
9,0,0,0,5,1
10,0,0,0,5,1
11,0,0,0,6,2
12,0,0,0,5,1
13,0,0,0,6,1
14,0,0,0,6,1
15,0,0,0,7,1
16,0,0,0,7,1
17,0,0,0,5,1
18,0,0,0,7,1
19,0,0,0,8,1
20,0,0,0,8,1
21,0,0,0,8,1
22,0,0,0,7,1
23,0,0,0,7,1
24,0,0,0,7,1
25,0,0,0,7,1
26,0,0,0,7,1
27,0,0,0,7,1
28,0,0,0,7,1
29,0,0,0,7,1
30,0,0,0,7,1
31,0,0,0,7,1
32,1,0,0,7,1
33,1,0,0,6,1
34,1,0,0,6,1
35,1,0,0,6,1
36,1,0,0,6,1
37,1,0,0,5,1
38,1,0,0,5,1
39,1,0,0,6,1
40,1,0,0,6,1
41,1,0,0,5,1
42,1,0,0,5,1
43,1,0,0,5,1
44,1,0,0,5,1
45,1,0,0,5,1
46,1,0,0,5,1
47,1,0,0,5,1
48,1,0,0,5,1
49,1,0,0,5,1
50,0,0,0,5,1
51,0,0,0,5,1
52,0,0,0,5,1
53,0,0,0,5,1
54,0,0,0,5,1
55,0,0,0,6,1
56,0,0,0,5,1
57,0,0,0,6,1
58,0,0,0,6,1
59,0,0,0,6,1
60,0,0,0,6,1
61,0,0,0,7,1
62,0,0,0,8,1
63,0,0,0,7,1
64,0,0,0,6,1
65,0,0,0,6,1
66,0,0,0,6,1
67,0,0,0,6,1
68,0,0,0,7,1
69,0,0,0,7,1
70,0,0,0,6,1
71,0,0,0,6,2
72,0,0,0,7,1
73,0,0,0,7,1
74,0,0,0,6,1
75,0,0,0,7,1
76,0,0,0,8,2
77,0,0,0,8,2
78,0,0,0,7,2
79,0,0,0,7,1
80,0,0,0,7,1
81,0,0,0,6,2
82,0,0,0,6,2
83,0,0,0,7,2
84,0,0,0,7,1
85,0,0,0,7,2
86,0,0,0,6,2
87,0,0,0,5,2
88,0,0,0,5,3
89,0,0,0,7,2
90,0,0,0,6,2
91,0,0,0,5,2
92,0,0,0,5,2
93,0,0,0,6,2
94,0,0,0,4,2
95,0,0,0,4,2
96,0,0,0,5,2
97,0,0,0,5,2
98,0,0,0,5,2
99,0,0,0,6,2
100,0,0,0,7,1
101,0,0,0,7,1
102,0,0,0,6,1
103,0,0,0,6,1
104,0,0,0,5,2
105,0,0,0,5,1
106,0,0,0,5,2
107,0,0,0,5,2
108,0,0,0,5,1
109,0,0,0,5,2
110,0,0,0,5,2
111,0,0,0,5,1
112,0,0,0,5,1
113,0,0,0,5,1
114,0,0,0,5,2
115,0,0,0,5,2
116,0,0,0,5,2
117,0,0,0,5,2
118,0,0,0,4,2
119,0,0,0,5,3
120,0,0,0,5,2
121,0,0,0,5,2
122,0,0,0,6,2
123,0,0,0,6,2
124,0,0,0,6,2
125,0,0,0,6,2
126,0,0,0,6,3
127,0,0,0,6,2
128,0,0,0,6,3
129,0,0,0,6,2
130,0,0,0,5,2
131,0,0,0,5,2
132,0,0,0,5,2
133,0,0,0,5,2
134,0,0,0,6,1
135,0,0,0,6,1
136,0,0,0,5,1
137,0,0,0,5,1
138,0,0,0,5,1
139,0,0,0,5,1
140,1,0,0,5,1
141,1,0,0,6,1
142,0,0,0,5,1
143,1,0,0,5,1
144,1,0,0,5,1
145,1,0,0,7,1
146,1,0,0,6,1
147,1,0,0,5,1
148,1,0,0,5,1
149,1,0,0,5,1
150,0,0,0,5,1
151,0,0,0,5,2
152,0,0,0,5,1
153,0,0,0,5,1
154,0,0,0,5,2
155,0,0,0,5,1
156,0,0,0,6,2
157,0,0,0,6,1
158,0,0,0,6,1
159,0,0,0,6,2
160,0,0,0,6,2
161,0,0,0,5,2
162,0,0,0,7,2
163,0,0,0,7,2
164,0,0,0,6,2
165,0,0,0,7,2
166,0,0,0,6,2
167,0,0,0,6,2
168,0,0,0,6,2
169,0,0,0,6,2
170,0,0,0,6,2
171,0,0,0,6,2
172,0,0,0,6,2
173,0,0,0,6,2
174,0,0,0,6,2
175,0,0,0,6,2
176,0,0,0,7,2
177,0,0,0,6,2
178,0,0,0,4,2
179,0,0,0,5,2
180,0,0,0,4,1
181,0,0,0,3,1
182,0,0,0,4,1
183,1,0,0,6,1
184,1,0,0,5,1
185,1,0,0,5,1
186,1,0,0,5,1
187,1,0,0,6,1
188,1,0,0,5,2
189,1,0,0,7,1
190,1,0,0,7,1
191,1,0,0,6,2
192,1,0,0,7,1
193,0,0,0,8,1
194,0,0,0,7,1
195,0,0,0,6,1
196,1,0,0,7,1
197,1,0,0,6,1
198,1,0,0,6,1
199,1,0,0,9,1
200,1,0,0,8,1
201,1,0,0,8,1
202,1,0,0,7,1
203,1,0,0,7,1
204,1,0,0,7,1
205,1,0,0,7,2
206,1,0,0,9,1
207,1,0,0,8,2
208,1,0,0,7,1
209,1,0,0,6,1
210,1,0,0,5,1
211,1,0,0,5,1
212,1,0,0,6,1
213,1,0,0,4,1
214,1,0,0,4,1
215,1,0,0,4,1
216,1,0,0,4,1
217,1,0,0,4,1
218,1,0,0,4,1
219,0,0,0,4,1
220,0,0,0,3,2
221,0,0,0,3,2
222,0,0,0,3,2
223,0,0,0,6,2
224,1,0,0,6,1
225,0,0,0,6,2
226,0,0,0,6,1
227,0,0,0,6,1
228,0,0,0,6,1
229,0,0,0,6,1
230,0,0,0,6,1
231,0,0,0,6,1
232,0,0,0,5,1
233,0,0,0,6,1
234,0,0,0,6,1
235,0,0,0,6,1
236,0,0,0,6,1
237,0,0,0,6,2
238,0,0,0,6,2
239,0,0,0,8,2
240,0,0,0,6,3
241,0,0,0,6,2
242,0,0,0,6,2
243,0,0,0,7,2
244,0,0,0,9,2
245,0,0,0,9,2
246,0,0,0,9,3
247,0,0,0,10,3
248,0,0,0,8,3
249,0,0,0,7,3
250,0,0,0,7,3
251,0,0,0,7,3
252,0,0,0,7,4
253,0,0,0,8,3
254,0,0,0,7,3
255,0,0,0,7,3
256,0,0,0,8,3
257,0,0,0,9,3
258,0,0,0,8,5
259,0,0,0,6,5
260,0,0,0,9,5
261,0,0,0,9,5
262,0,0,0,9,5
263,0,0,0,8,5
264,0,0,0,8,5
265,0,0,0,9,4
266,0,0,0,9,5
267,0,0,0,7,5
268,0,0,0,8,5
269,0,0,0,9,4
270,0,0,0,8,4
271,0,0,0,8,5
272,0,0,0,8,5
273,0,0,0,8,7
274,0,0,0,8,5
275,0,0,0,9,4
276,0,0,0,7,5
277,0,0,0,8,5
278,0,0,0,9,5
279,0,0,0,8,5
280,0,0,0,9,5
281,0,0,0,10,3
282,0,0,0,8,5
283,0,0,0,9,5
284,0,0,0,8,6
285,0,0,0,10,6
286,0,0,0,10,4
287,0,0,0,9,4
288,0,0,0,9,3
289,0,0,0,9,4
290,0,0,0,9,4
291,0,0,0,8,5
292,0,0,0,6,5
293,0,0,0,7,5
294,0,0,0,7,4
295,0,0,0,7,5
296,0,0,0,8,5
297,1,0,0,10,4
298,0,0,0,6,4
299,0,0,0,6,5
300,1,0,0,7,5
301,0,0,0,9,5
302,0,0,0,9,5
303,0,0,0,8,5
304,0,0,0,8,5
305,0,0,0,8,5
306,0,0,0,8,5
307,0,0,0,9,5
308,0,0,0,10,3
309,0,0,0,10,4
310,0,0,0,11,3
311,0,0,0,10,3
312,0,0,0,9,5
313,0,0,0,9,4
314,1,0,0,10,3
315,0,0,0,9,3
316,1,0,0,10,5
317,1,0,0,10,5
318,0,0,0,11,4
319,0,0,0,10,3
320,0,0,0,10,2
321,0,0,0,12,2
322,0,0,0,10,1
323,0,0,0,10,1
324,0,0,0,10,2
325,0,0,0,10,3
326,0,0,0,10,2
327,0,0,0,10,2
328,0,0,0,11,2
329,0,0,0,9,2
330,0,0,0,8,2
331,0,0,0,8,3
332,0,0,0,8,2
333,0,0,0,9,2
334,0,0,0,8,2
335,0,0,0,10,1
336,0,0,0,9,1
337,0,0,0,9,1
338,0,0,0,7,2
339,0,0,0,8,1
340,0,0,0,7,2
341,0,0,0,8,1
342,0,0,0,7,2
343,0,0,0,6,3
