Frame,People,Bikes,Buses,Cars,Trucks
1,0,0,0,0,0
2,1,0,0,13,0
3,1,0,0,12,0
4,1,0,0,11,0
5,1,0,0,11,0
6,1,0,0,11,0
7,1,0,0,11,0
8,1,0,0,11,0
9,1,0,0,11,0
10,1,0,0,12,0
11,1,0,0,12,0
12,1,0,0,12,0
13,1,0,0,12,0
14,1,0,0,12,0
15,1,0,0,12,0
16,1,0,0,12,0
17,1,0,0,11,0
18,1,0,0,12,0
19,1,0,0,12,0
20,1,0,0,11,0
21,1,0,0,11,0
22,1,0,0,12,0
23,1,0,0,12,0
24,1,0,0,12,0
25,1,0,0,11,0
26,1,0,0,12,0
27,1,0,0,11,0
28,1,0,0,11,0
29,1,0,0,11,0
30,1,0,0,12,0
31,1,0,0,12,0
32,1,0,0,12,0
33,1,0,0,12,0
34,1,0,0,12,0
35,1,0,0,12,0
36,1,0,0,12,0
37,1,0,0,12,0
38,1,0,0,12,0
39,1,0,0,12,0
40,1,0,0,12,0
41,1,0,0,11,0
42,1,0,0,12,0
43,1,0,0,12,0
44,1,0,0,12,0
45,1,0,0,12,0
46,1,0,0,12,0
47,1,0,0,12,0
48,1,0,0,12,0
49,1,0,0,12,0
50,0,0,0,12,0
51,0,0,0,12,0
52,1,0,0,12,0
53,1,0,0,12,0
54,1,0,0,12,0
55,1,0,0,12,0
56,1,0,0,12,0
57,1,0,0,12,0
58,1,0,0,12,0
59,1,0,0,12,0
60,1,0,0,12,0
61,1,0,0,12,0
62,1,0,0,12,0
63,1,0,0,12,0
64,1,0,0,11,0
65,1,0,0,11,0
66,1,0,0,11,0
67,1,0,0,12,0
68,1,0,0,12,0
69,1,0,0,12,0
70,1,0,0,12,0
71,1,0,0,11,0
72,1,0,0,11,0
73,2,0,0,11,0
74,2,0,0,11,0
75,2,0,0,11,0
76,2,0,0,11,0
77,2,0,0,11,0
78,2,0,0,11,0
79,2,0,0,11,0
80,1,0,0,11,0
81,1,0,0,11,0
82,1,0,0,11,0
83,1,0,0,11,0
84,1,0,0,12,0
85,2,0,0,11,0
86,1,0,0,11,0
87,1,0,0,10,0
88,1,0,0,10,0
89,1,0,0,10,0
90,1,0,0,11,0
91,0,0,0,11,0
92,1,0,0,10,0
93,1,0,0,10,0
94,0,0,0,11,0
95,0,0,0,11,0
96,0,0,0,11,0
97,0,0,0,12,0
98,0,0,0,11,0
99,0,0,0,11,0
100,0,0,0,11,0
101,0,0,0,11,0
102,0,0,0,11,0
103,0,0,0,12,0
104,1,0,0,11,0
105,1,0,0,12,0
106,0,0,0,11,0
107,1,0,0,11,0
108,1,0,0,12,0
109,1,0,0,11,0
110,1,0,0,11,0
111,1,0,0,11,0
112,1,0,0,11,0
113,0,0,0,11,0
114,0,0,0,11,0
115,0,0,0,11,0
116,0,0,0,11,0
117,0,0,0,11,0
118,0,0,0,11,0
119,0,0,0,11,0
120,0,0,0,11,0
121,0,0,0,11,0
122,0,0,0,10,0
123,1,0,0,10,0
124,0,0,0,10,0
125,0,0,0,10,0
126,0,0,0,10,0
127,0,0,0,10,0
128,0,0,0,10,0
129,0,0,0,10,0
130,0,0,0,10,0
131,0,0,0,10,0
132,0,0,0,10,0
133,0,0,0,10,0
134,0,0,0,10,0
135,0,0,0,10,0
136,0,0,0,10,0
137,0,0,0,10,0
138,1,0,0,10,0
139,1,0,0,10,0
140,1,0,0,10,0
141,1,0,0,10,0
142,1,0,0,10,0
143,1,0,0,10,0
144,1,0,0,10,0
145,1,0,0,10,0
146,1,0,0,10,0
147,1,0,0,10,0
148,1,0,0,10,0
149,1,0,0,10,0
150,1,0,0,10,0
151,1,0,0,10,0
152,1,0,0,10,0
153,1,0,0,10,0
154,1,0,0,10,0
155,1,0,0,10,0
156,1,0,0,10,0
157,1,0,0,10,0
158,1,0,0,10,0
159,1,0,0,10,0
160,1,0,0,10,0
161,1,0,0,10,0
162,1,0,0,10,0
163,1,0,0,10,0
164,1,0,0,10,0
165,1,0,0,10,0
166,1,0,0,10,0
167,1,0,0,10,0
168,1,0,0,10,0
169,1,0,0,10,0
170,1,0,0,10,0
171,0,0,0,10,0
172,0,0,0,10,0
173,1,0,0,10,0
174,1,0,0,10,0
175,0,0,0,10,0
176,0,0,0,10,0
177,0,0,0,10,0
178,0,0,0,10,0
179,0,0,0,10,0
180,0,0,0,10,0
181,0,0,0,10,0
182,0,0,0,10,0
183,0,0,0,9,0
184,1,0,0,9,0
185,1,0,0,9,0
186,0,0,0,9,0
187,0,0,0,9,0
188,1,0,0,9,0
189,1,0,0,9,0
190,1,0,0,9,0
191,1,0,0,9,0
192,2,0,0,9,0
193,1,0,0,9,0
194,1,0,0,9,0
195,2,0,0,9,0
196,2,0,0,9,0
197,1,0,0,9,0
198,2,0,0,9,0
199,1,0,0,9,0
200,2,0,0,9,0
201,1,0,0,9,0
202,1,0,0,9,0
203,1,0,0,9,0
204,1,0,0,9,0
205,1,0,0,9,0
206,0,0,0,9,0
207,1,0,0,9,0
208,1,0,0,9,0
209,1,0,0,9,0
210,0,0,0,9,0
211,2,0,0,9,0
212,0,0,0,9,0
213,1,0,0,9,0
214,2,0,0,9,0
215,3,0,0,9,0
216,1,0,0,9,0
217,2,0,0,9,0
218,2,0,0,9,0
219,3,0,0,9,0
220,3,0,0,9,0
221,0,0,0,0,0
